レースID,券種,組番,払戻金
202368,ワイド,9-14,"24,920円"
202368,ワイド,14-15,"8,330円"
202368,3連複,9-14-15,"105,510円"
202368,3連単,9-15-14,"455,470円"
202369,単勝,5,200円
202369,複勝,5,110円
202369,複勝,1,120円
202369,複勝,9,150円
202369,枠連,1-4,390円
202369,馬連,1-5,430円
202369,馬単,5-1,630円
202369,ワイド,1-5,200円
202369,ワイド,5-9,300円
202369,ワイド,1-9,390円
202369,3連複,1-5-9,910円
202369,3連単,5-1-9,"2,100円"
202370,単勝,12,370円
202370,複勝,12,150円
202370,複勝,1,150円
202370,複勝,6,260円
202370,枠連,1-8,500円
202370,馬連,1-12,730円
202370,馬単,12-1,"1,660円"
202370,ワイド,1-12,300円
202370,ワイド,6-12,870円
202370,ワイド,1-6,560円
202370,3連複,1-6-12,"2,260円"
202370,3連単,12-1-6,"11,300円"
202371,単勝,8,160円
202371,複勝,8,110円
202371,複勝,7,180円
202371,複勝,3,390円
202371,枠連,4-4,820円
202371,馬連,7-8,810円
202371,馬単,8-7,"1,090円"
202371,ワイド,7-8,360円
202371,ワイド,3-8,790円
202371,ワイド,3-7,"1,400円"
202371,3連複,3-7-8,"4,310円"
202371,3連単,8-7-3,"9,900円"
202372,単勝,10,210円
202372,複勝,10,110円
202372,複勝,1,130円
202372,複勝,3,270円
202372,枠連,1-8,410円
202372,馬連,1-10,440円
202372,馬単,10-1,790円
202372,ワイド,1-10,200円
202372,ワイド,3-10,510円
202372,ワイド,1-3,560円
202372,3連複,1-3-10,"1,580円"
202372,3連単,10-1-3,"4,510円"
202373,単勝,6,620円
202373,複勝,6,160円
202373,複勝,5,410円
202373,複勝,9,110円
202373,枠連,4-4,"7,960円"
202373,馬連,5-6,"7,090円"
202373,馬単,6-5,"13,390円"
202373,ワイド,5-6,"1,500円"
202373,ワイド,6-9,260円
202373,ワイド,5-9,810円
202373,3連複,5-6-9,"3,280円"
202373,3連単,6-5-9,"43,380円"
202374,単勝,12,"3,880円"
202374,複勝,12,840円
202374,複勝,5,170円
202374,複勝,11,240円
202374,枠連,4-7,"1,000円"
202374,馬連,5-12,"4,600円"
202374,馬単,12-5,"13,840円"
202374,ワイド,5-12,"1,870円"
202374,ワイド,11-12,"3,480円"
202374,ワイド,5-11,710円
202374,3連複,5-11-12,"15,510円"
202374,3連単,12-5-11,"148,360円"
202375,単勝,14,310円
202375,複勝,14,140円
202375,複勝,2,200円
202375,複勝,13,780円
202375,枠連,1-7,470円
202375,馬連,2-14,"1,020円"
202375,馬単,14-2,"1,800円"
202375,ワイド,2-14,540円
202375,ワイド,13-14,"1,900円"
202375,ワイド,2-13,"4,570円"
202375,3連複,2-13-14,"12,900円"
202375,3連単,14-2-13,"38,640円"
202376,単勝,12,340円
202376,複勝,12,170円
202376,複勝,2,300円
202376,複勝,10,210円
202376,枠連,2-7,690円
202376,馬連,2-12,"1,590円"
202376,馬単,12-2,"2,020円"
202376,ワイド,2-12,760円
202376,ワイド,10-12,670円
202376,ワイド,2-10,"1,230円"
202376,3連複,2-10-12,"4,280円"
202376,3連単,12-2-10,"12,240円"
202377,単勝,4,190円
202377,複勝,4,110円
202377,複勝,3,180円
202377,複勝,6,"6,790円"
202377,枠連,2-2,560円
202377,馬連,3-4,610円
202377,馬単,4-3,760円
202377,ワイド,3-4,280円
202377,ワイド,4-6,"18,720円"
202377,ワイド,3-6,"40,790円"
202377,3連複,3-4-6,"74,000円"
202377,3連単,4-3-6,"164,250円"
202378,単勝,10,840円
202378,複勝,10,310円
202378,複勝,3,180円
202378,複勝,4,660円
202378,枠連,2-5,"1,380円"
202378,馬連,3-10,"1,510円"
202378,馬単,10-3,"3,570円"
202378,ワイド,3-10,640円
202378,ワイド,4-10,"3,090円"
202378,ワイド,3-4,"1,650円"
202378,3連複,3-4-10,"11,190円"
202378,3連単,10-3-4,"58,870円"
202379,単勝,12,"5,330円"
202379,複勝,12,510円
202379,複勝,14,130円
202379,複勝,1,170円
202379,枠連,7-8,"2,470円"
202379,馬連,12-14,"5,060円"
202379,馬単,12-14,"18,620円"
202379,ワイド,12-14,"1,330円"
202379,ワイド,1-12,"2,790円"
202379,ワイド,1-14,420円
202379,3連複,1-12-14,"8,840円"
202379,3連単,12-14-1,"117,420円"
202380,単勝,13,370円
202380,複勝,13,160円
202380,複勝,14,160円
202380,複勝,15,350円
202380,枠連,7-7,730円
202380,馬連,13-14,660円
202380,馬単,13-14,"1,300円"
202380,ワイド,13-14,320円
202380,ワイド,13-15,"1,080円"
202380,ワイド,14-15,860円
202380,3連複,13-14-15,"3,200円"
202380,3連単,13-14-15,"15,010円"
202381,単勝,10,250円
202381,複勝,10,140円
202381,複勝,3,240円
202381,複勝,8,150円
202381,枠連,3-7,"1,530円"
202381,馬連,3-10,"1,420円"
202381,馬単,10-3,"2,080円"
202381,ワイド,3-10,510円
202381,ワイド,8-10,240円
202381,ワイド,3-8,500円
202381,3連複,3-8-10,"1,560円"
202381,3連単,10-3-8,"6,910円"
202382,単勝,7,"1,210円"
202382,複勝,7,350円
202382,複勝,13,150円
202382,複勝,15,220円
202382,枠連,4-7,960円
202382,馬連,7-13,"2,330円"
202382,馬単,7-13,"5,500円"
202382,ワイド,7-13,990円
202382,ワイド,7-15,"2,240円"
202382,ワイド,13-15,490円
202382,3連複,7-13-15,"5,580円"
202382,3連単,7-13-15,"40,010円"
202383,単勝,2,560円
202383,複勝,2,170円
202383,複勝,4,200円
202383,複勝,5,190円
202383,枠連,2-4,"1,860円"
202383,馬連,2-4,"1,750円"
202383,馬単,2-4,"3,450円"
202383,ワイド,2-4,510円
202383,ワイド,2-5,390円
202383,ワイド,4-5,480円
202383,3連複,2-4-5,"2,270円"
202383,3連単,2-4-5,"15,190円"
202384,単勝,11,"2,070円"
202384,複勝,11,510円
202384,複勝,5,230円
202384,複勝,8,200円
202384,枠連,3-6,"1,200円"
202384,馬連,5-11,"6,700円"
202384,馬単,11-5,"15,360円"
202384,ワイド,5-11,"2,120円"
202384,ワイド,8-11,"1,860円"
202384,ワイド,5-8,710円
202384,3連複,5-8-11,"11,880円"
202384,3連単,11-5-8,"107,350円"
202385,単勝,4,860円
202385,複勝,4,300円
202385,複勝,9,380円
202385,複勝,6,270円
202385,枠連,3-6,640円
202385,馬連,4-9,"3,950円"
202385,馬単,4-9,"8,290円"
202385,ワイド,4-9,"1,300円"
202385,ワイド,4-6,"1,080円"
202385,ワイド,6-9,"1,230円"
202385,3連複,4-6-9,"10,710円"
202385,3連単,4-9-6,"71,370円"
202386,単勝,1,460円
202386,複勝,1,130円
202386,複勝,3,140円
202386,複勝,4,110円
202386,枠連,1-3,"1,400円"
202386,馬連,1-3,"1,330円"
202386,馬単,1-3,"2,510円"
202386,ワイド,1-3,340円
202386,ワイド,1-4,190円
202386,ワイド,3-4,270円
202386,3連複,1-3-4,690円
202386,3連単,1-3-4,"6,200円"
202387,単勝,14,160円
202387,複勝,14,110円
202387,複勝,10,170円
202387,複勝,9,890円
202387,枠連,5-7,430円
202387,馬連,10-14,520円
202387,馬単,14-10,710円
202387,ワイド,10-14,270円
202387,ワイド,9-14,"1,820円"
202387,ワイド,9-10,"4,120円"
202387,3連複,9-10-14,"7,490円"
202387,3連単,14-10-9,"18,190円"
202388,単勝,13,260円
202388,複勝,13,140円
202388,複勝,16,460円
202388,複勝,1,640円
202388,枠連,7-8,"1,370円"
202388,馬連,13-16,"1,940円"
202388,馬単,13-16,"3,130円"
202388,ワイド,13-16,800円
202388,ワイド,1-13,"1,790円"
202388,ワイド,1-16,"5,830円"
202388,3連複,1-13-16,"22,550円"
202388,3連単,13-16-1,"85,690円"
202389,単勝,9,230円
202389,複勝,9,120円
202389,複勝,14,170円
202389,複勝,7,440円
202389,枠連,5-7,400円
202389,馬連,9-14,580円
202389,馬単,9-14,"1,040円"
202389,ワイド,9-14,300円
202389,ワイド,7-9,740円
202389,ワイド,7-14,"1,210円"
202389,3連複,7-9-14,"3,470円"
202389,3連単,9-14-7,"11,550円"
202390,単勝,11,340円
202390,複勝,11,130円
202390,複勝,9,130円
202390,複勝,5,170円
202390,枠連,7-8,590円
202390,馬連,9-11,680円
202390,馬単,11-9,"1,300円"
202390,ワイド,9-11,270円
202390,ワイド,5-11,400円
202390,ワイド,5-9,420円
202390,3連複,5-9-11,"1,540円"
202390,3連単,11-9-5,"6,730円"
202391,単勝,11,160円
202391,複勝,11,110円
202391,複勝,3,500円
202391,複勝,7,190円
202391,枠連,2-6,360円
202391,馬連,3-11,"2,880円"
202391,馬単,11-3,"3,550円"
202391,ワイド,3-11,910円
202391,ワイド,7-11,340円
202391,ワイド,3-7,"3,090円"
202391,3連複,3-7-11,"5,880円"
202391,3連単,11-3-7,"22,130円"
202392,単勝,4,"1,580円"
202392,複勝,4,260円
202392,複勝,5,110円
202392,複勝,11,160円
202392,枠連,2-3,"1,020円"
202392,馬連,4-5,"1,100円"
202392,馬単,4-5,"3,900円"
202392,ワイド,4-5,410円
202392,ワイド,4-11,"1,060円"
202392,ワイド,5-11,240円
202392,3連複,4-5-11,"1,830円"
202392,3連単,4-5-11,"17,350円"
202393,単勝,16,260円
202393,複勝,16,130円
202393,複勝,10,370円
202393,複勝,13,180円
202393,枠連,5-8,"2,330円"
202393,馬連,10-16,"2,630円"
202393,馬単,16-10,"3,970円"
202393,ワイド,10-16,810円
202393,ワイド,13-16,310円
202393,ワイド,10-13,"1,500円"
202393,3連複,10-13-16,"4,230円"
202393,3連単,16-10-13,"20,480円"
202394,単勝,1,670円
202394,複勝,1,170円
202394,複勝,12,120円
202394,複勝,2,150円
202394,枠連,1-6,360円
202394,馬連,1-12,860円
202394,馬単,1-12,"2,030円"
202394,ワイド,1-12,360円
202394,ワイド,1-2,560円
202394,ワイド,2-12,270円
202394,3連複,1-2-12,"1,510円"
202394,3連単,1-12-2,"8,870円"
202395,単勝,3,150円
202395,複勝,3,110円
202395,複勝,9,890円
202395,複勝,10,350円
202395,枠連,2-5,"3,050円"
202395,馬連,3-9,"6,560円"
202395,馬単,3-9,"7,730円"
202395,ワイド,3-9,"2,050円"
202395,ワイド,3-10,620円
202395,ワイド,9-10,"12,030円"
202395,3連複,3-9-10,"20,990円"
202395,3連単,3-9-10,"72,700円"
202396,単勝,6,400円
202396,複勝,6,150円
202396,複勝,7,320円
202396,複勝,8,170円
202396,枠連,6-7,720円
202396,馬連,6-7,"2,570円"
202396,馬単,6-7,"4,450円"
202396,ワイド,6-7,800円
202396,ワイド,6-8,340円
202396,ワイド,7-8,"1,080円"
202396,3連複,6-7-8,"3,390円"
202396,3連単,6-7-8,"22,420円"
202397,単勝,7,180円
202397,複勝,7,110円
202397,複勝,1,130円
202397,複勝,2,150円
202397,枠連,1-7,410円
202397,馬連,1-7,390円
202397,馬単,7-1,600円
202397,ワイド,1-7,180円
202397,ワイド,2-7,230円
202397,ワイド,1-2,320円
202397,3連複,1-2-7,620円
202397,3連単,7-1-2,"1,850円"
202398,単勝,5,810円
202398,複勝,5,200円
202398,複勝,7,140円
202398,複勝,8,190円
202398,枠連,4-5,630円
202398,馬連,5-7,820円
202398,馬単,5-7,"2,520円"
202398,ワイド,5-7,320円
202398,ワイド,5-8,770円
202398,ワイド,7-8,390円
202398,3連複,5-7-8,"1,820円"
202398,3連単,5-7-8,"13,750円"
202399,単勝,1,420円
202399,複勝,1,180円
202399,複勝,6,"1,260円"
202399,複勝,12,430円
202399,枠連,1-3,"2,350円"
202399,馬連,1-6,"13,330円"
202399,馬単,1-6,"19,310円"
202399,ワイド,1-6,"3,530円"
202399,ワイド,1-12,"1,380円"
202399,ワイド,6-12,"14,170円"
202399,3連複,1-6-12,"86,180円"
202399,3連単,1-6-12,"479,600円"
2023100,単勝,5,400円
2023100,複勝,5,120円
2023100,複勝,7,110円
2023100,複勝,10,140円
2023100,枠連,3-4,290円
2023100,馬連,5-7,350円
2023100,馬単,5-7,830円
2023100,ワイド,5-7,180円
2023100,ワイド,5-10,510円
2023100,ワイド,7-10,260円
2023100,3連複,5-7-10,870円
2023100,3連単,5-7-10,"4,500円"
2023101,単勝,6,300円
2023101,複勝,6,130円
2023101,複勝,5,360円
2023101,複勝,9,490円
2023101,枠連,3-3,"2,190円"
2023101,馬連,5-6,"2,440円"
2023101,馬単,6-5,"4,100円"
2023101,ワイド,5-6,830円
2023101,ワイド,6-9,850円
2023101,ワイド,5-9,"5,370円"
2023101,3連複,5-6-9,"14,010円"
2023101,3連単,6-5-9,"65,590円"
2023102,単勝,15,360円
2023102,複勝,15,150円
2023102,複勝,16,220円
2023102,複勝,10,370円
2023102,枠連,8-8,"1,410円"
2023102,馬連,15-16,"1,090円"
2023102,馬単,15-16,"2,560円"
2023102,ワイド,15-16,440円
2023102,ワイド,10-15,970円
2023102,ワイド,10-16,"1,000円"
2023102,3連複,10-15-16,"4,750円"
2023102,3連単,15-16-10,"25,300円"
2023103,単勝,6,340円
2023103,複勝,6,130円
2023103,複勝,3,180円
2023103,複勝,15,130円
2023103,枠連,2-3,"1,110円"
2023103,馬連,3-6,"1,110円"
2023103,馬単,6-3,"2,310円"
2023103,ワイド,3-6,400円
2023103,ワイド,6-15,250円
2023103,ワイド,3-15,390円
2023103,3連複,3-6-15,"1,060円"
2023103,3連単,6-3-15,"7,840円"
2023104,単勝,5,430円
2023104,複勝,5,130円
2023104,複勝,4,120円
2023104,複勝,10,140円
2023104,枠連,2-3,420円
2023104,馬連,4-5,450円
2023104,馬単,5-4,"1,040円"
2023104,ワイド,4-5,200円
2023104,ワイド,5-10,300円
2023104,ワイド,4-10,270円
2023104,3連複,4-5-10,760円
2023104,3連単,5-4-10,"3,580円"
2023105,単勝,6,"1,010円"
2023105,複勝,6,270円
2023105,複勝,1,110円
2023105,複勝,11,210円
2023105,枠連,1-6,"1,100円"
2023105,馬連,1-6,"1,380円"
2023105,馬単,6-1,"3,490円"
2023105,ワイド,1-6,620円
2023105,ワイド,6-11,"1,430円"
2023105,ワイド,1-11,450円
2023105,3連複,1-6-11,"3,840円"
2023105,3連単,6-1-11,"33,830円"
2023106,単勝,12,250円
2023106,複勝,12,120円
2023106,複勝,8,160円
2023106,複勝,9,130円
2023106,枠連,4-6,620円
2023106,馬連,8-12,920円
2023106,馬単,12-8,"1,510円"
2023106,ワイド,8-12,410円
2023106,ワイド,9-12,180円
2023106,ワイド,8-9,350円
2023106,3連複,8-9-12,750円
2023106,3連単,12-8-9,"3,580円"
2023107,単勝,4,290円
2023107,複勝,4,120円
2023107,複勝,5,150円
2023107,複勝,7,120円
2023107,馬連,4-5,910円
2023107,馬単,4-5,"1,520円"
2023107,ワイド,4-5,320円
2023107,ワイド,4-7,200円
2023107,ワイド,5-7,360円
2023107,3連複,4-5-7,870円
2023107,3連単,4-5-7,"4,270円"
2023108,単勝,4,200円
2023108,複勝,4,110円
2023108,複勝,1,920円
2023108,複勝,2,390円
2023108,枠連,1-4,"4,370円"
2023108,馬連,1-4,"4,780円"
2023108,馬単,4-1,"5,050円"
2023108,ワイド,1-4,"1,670円"
2023108,ワイド,2-4,730円
2023108,ワイド,1-2,"6,030円"
2023108,3連複,1-2-4,"15,390円"
2023108,3連単,4-1-2,"57,540円"
2023109,単勝,13,160円
2023109,複勝,13,110円
2023109,複勝,6,140円
2023109,複勝,14,200円
2023109,枠連,3-7,350円
2023109,馬連,6-13,390円
2023109,馬単,13-6,530円
2023109,ワイド,6-13,200円
2023109,ワイド,13-14,350円
2023109,ワイド,6-14,730円
2023109,3連複,6-13-14,"1,070円"
2023109,3連単,13-6-14,"2,610円"
2023110,単勝,4,500円
2023110,複勝,4,140円
2023110,複勝,10,110円
2023110,複勝,7,120円
2023110,枠連,4-8,760円
2023110,馬連,4-10,760円
2023110,馬単,4-10,"1,670円"
2023110,ワイド,4-10,240円
2023110,ワイド,4-7,280円
2023110,ワイド,7-10,180円
2023110,3連複,4-7-10,630円
2023110,3連単,4-10-7,"4,630円"
2023111,単勝,16,320円
2023111,複勝,16,160円
2023111,複勝,4,350円
2023111,複勝,12,280円
2023111,枠連,2-8,"1,040円"
2023111,馬連,4-16,"2,390円"
2023111,馬単,16-4,"3,520円"
2023111,ワイド,4-16,890円
2023111,ワイド,12-16,920円
2023111,ワイド,4-12,"1,440円"
2023111,3連複,4-12-16,"7,640円"
2023111,3連単,16-4-12,"30,410円"
2023112,単勝,16,800円
2023112,複勝,16,490円
2023112,複勝,14,480円
2023112,複勝,4,930円
2023112,枠連,7-8,"4,570円"
2023112,馬連,14-16,"5,110円"
2023112,馬単,16-14,"12,910円"
2023112,ワイド,14-16,"1,290円"
2023112,ワイド,4-16,"2,210円"
2023112,ワイド,4-14,"1,860円"
2023112,3連複,4-14-16,"21,680円"
2023112,3連単,16-14-4,"137,460円"
2023113,単勝,10,"1,760円"
2023113,複勝,10,320円
2023113,複勝,8,150円
2023113,複勝,15,190円
2023113,枠連,4-5,830円
2023113,馬連,8-10,"2,430円"
2023113,馬単,10-8,"6,890円"
2023113,ワイド,8-10,760円
2023113,ワイド,10-15,"1,240円"
2023113,ワイド,8-15,570円
2023113,3連複,8-10-15,"6,270円"
2023113,3連単,10-8-15,"54,100円"
2023114,単勝,4,"1,230円"
2023114,複勝,4,220円
2023114,複勝,3,110円
2023114,複勝,5,650円
2023114,枠連,3-4,600円
2023114,馬連,3-4,590円
2023114,馬単,4-3,"2,130円"
2023114,ワイド,3-4,320円
2023114,ワイド,4-5,"3,070円"
2023114,ワイド,3-5,890円
2023114,3連複,3-4-5,"4,330円"
2023114,3連単,4-3-5,"30,470円"
2023115,単勝,14,270円
2023115,複勝,14,160円
2023115,複勝,16,410円
2023115,複勝,8,230円
2023115,枠連,7-8,510円
2023115,馬連,14-16,"3,050円"
2023115,馬単,14-16,"4,330円"
2023115,ワイド,14-16,940円
2023115,ワイド,8-14,520円
2023115,ワイド,8-16,"1,230円"
2023115,3連複,8-14-16,"5,970円"
2023115,3連単,14-16-8,"27,700円"
2023116,単勝,1,"1,220円"
2023116,複勝,1,340円
2023116,複勝,8,160円
2023116,複勝,2,220円
2023116,枠連,1-4,540円
2023116,馬連,1-8,"1,880円"
2023116,馬単,1-8,"4,950円"
2023116,ワイド,1-8,810円
2023116,ワイド,1-2,"1,150円"
2023116,ワイド,2-8,450円
2023116,3連複,1-2-8,"3,800円"
2023116,3連単,1-8-2,"27,670円"
2023117,単勝,10,330円
2023117,複勝,10,150円
2023117,複勝,14,110円
2023117,複勝,7,940円
2023117,枠連,6-8,380円
2023117,馬連,10-14,380円
2023117,馬単,10-14,800円
2023117,ワイド,10-14,220円
2023117,ワイド,7-10,"5,110円"
2023117,ワイド,7-14,"1,940円"
2023117,3連複,7-10-14,"6,540円"
2023117,3連単,10-14-7,"36,000円"
2023118,単勝,14,530円
2023118,複勝,14,240円
2023118,複勝,10,440円
2023118,複勝,13,270円
2023118,枠連,5-7,570円
2023118,馬連,10-14,"5,820円"
2023118,馬単,14-10,"8,650円"
2023118,ワイド,10-14,"1,900円"
2023118,ワイド,13-14,"1,030円"
2023118,ワイド,10-13,"2,210円"
2023118,3連複,10-13-14,"15,390円"
2023118,3連単,14-10-13,"92,460円"
2023119,単勝,8,270円
2023119,複勝,8,120円
2023119,複勝,6,130円
2023119,複勝,11,150円
2023119,枠連,6-7,310円
2023119,馬連,6-8,460円
2023119,馬単,8-6,850円
2023119,ワイド,6-8,200円
2023119,ワイド,8-11,240円
2023119,ワイド,6-11,350円
2023119,3連複,6-8-11,830円
2023119,3連単,8-6-11,"3,330円"
2023120,単勝,5,"3,820円"
2023120,複勝,5,800円
2023120,複勝,9,420円
2023120,複勝,4,300円
2023120,枠連,5-7,"8,300円"
2023120,馬連,5-9,"13,030円"
2023120,馬単,5-9,"34,490円"
2023120,ワイド,5-9,"3,140円"
2023120,ワイド,4-5,"3,540円"
2023120,ワイド,4-9,"1,300円"
2023120,3連複,4-5-9,"33,850円"
2023120,3連単,5-9-4,"306,750円"
2023121,単勝,8,520円
2023121,複勝,8,310円
2023121,複勝,11,"5,340円"
2023121,複勝,2,300円
2023121,枠連,6-8,"8,690円"
2023121,馬連,8-11,"46,520円"
2023121,馬単,8-11,"71,860円"
2023121,ワイド,8-11,"11,210円"
2023121,ワイド,2-8,470円
2023121,ワイド,2-11,"7,360円"
2023121,3連複,2-8-11,"64,960円"
2023121,3連単,8-11-2,"492,950円"
2023122,単勝,9,300円
2023122,複勝,9,170円
2023122,複勝,2,550円
2023122,複勝,6,260円
2023122,枠連,1-5,680円
2023122,馬連,2-9,"5,770円"
2023122,馬単,9-2,"7,990円"
2023122,ワイド,2-9,"1,620円"
2023122,ワイド,6-9,510円
2023122,ワイド,2-6,"2,560円"
2023122,3連複,2-6-9,"11,810円"
2023122,3連単,9-2-6,"58,720円"
2023123,単勝,11,"1,190円"
2023123,複勝,11,300円
2023123,複勝,16,500円
2023123,複勝,12,"1,120円"
2023123,枠連,6-8,"3,850円"
2023123,馬連,11-16,"6,440円"
2023123,馬単,11-16,"19,620円"
2023123,ワイド,11-16,"1,580円"
2023123,ワイド,11-12,"3,810円"
2023123,ワイド,12-16,"6,880円"
2023123,3連複,11-12-16,"74,710円"
2023123,3連単,11-16-12,"529,660円"
2023124,単勝,9,530円
2023124,複勝,9,200円
2023124,複勝,4,160円
2023124,複勝,3,170円
2023124,枠連,2-5,600円
2023124,馬連,4-9,"1,540円"
2023124,馬単,9-4,"2,510円"
2023124,ワイド,4-9,640円
2023124,ワイド,3-9,520円
2023124,ワイド,3-4,340円
2023124,3連複,3-4-9,"1,720円"
2023124,3連単,9-4-3,"9,420円"
2023125,単勝,13,160円
2023125,複勝,13,110円
2023125,複勝,2,180円
2023125,複勝,8,240円
2023125,枠連,1-7,520円
2023125,馬連,2-13,820円
2023125,馬単,13-2,960円
2023125,ワイド,2-13,370円
2023125,ワイド,8-13,470円
2023125,ワイド,2-8,"1,050円"
2023125,3連複,2-8-13,"2,260円"
2023125,3連単,13-2-8,"5,950円"
2023126,単勝,14,670円
2023126,複勝,14,300円
2023126,複勝,11,310円
2023126,複勝,10,320円
2023126,枠連,6-7,"1,280円"
2023126,馬連,11-14,"4,000円"
2023126,馬単,14-11,"6,110円"
2023126,ワイド,11-14,"1,070円"
2023126,ワイド,10-14,"1,970円"
2023126,ワイド,10-11,"1,680円"
2023126,3連複,10-11-14,"12,620円"
2023126,3連単,14-11-10,"58,820円"
2023127,単勝,8,150円
2023127,複勝,8,110円
2023127,複勝,1,230円
2023127,複勝,11,200円
2023127,枠連,1-4,500円
2023127,馬連,1-8,930円
2023127,馬単,8-1,"1,240円"
2023127,ワイド,1-8,410円
2023127,ワイド,8-11,310円
2023127,ワイド,1-11,"1,210円"
2023127,3連複,1-8-11,"2,570円"
2023127,3連単,8-1-11,"7,020円"
2023128,単勝,2,220円
2023128,複勝,2,130円
2023128,複勝,6,220円
2023128,複勝,13,490円
2023128,枠連,1-3,810円
2023128,馬連,2-6,"1,050円"
2023128,馬単,2-6,"1,540円"
2023128,ワイド,2-6,450円
2023128,ワイド,2-13,960円
2023128,ワイド,6-13,"3,110円"
2023128,3連複,2-6-13,"6,890円"
2023128,3連単,2-6-13,"18,260円"
2023129,単勝,10,300円
2023129,複勝,10,150円
2023129,複勝,2,220円
2023129,複勝,3,180円
2023129,枠連,1-5,750円
2023129,馬連,2-10,"1,100円"
2023129,馬単,10-2,"1,840円"
2023129,ワイド,2-10,460円
2023129,ワイド,3-10,470円
2023129,ワイド,2-3,770円
2023129,3連複,2-3-10,"2,420円"
2023129,3連単,10-2-3,"10,020円"
2023130,単勝,3,190円
2023130,複勝,3,110円
2023130,複勝,8,110円
2023130,複勝,10,140円
2023130,枠連,3-7,310円
2023130,馬連,3-8,320円
2023130,馬単,3-8,530円
2023130,ワイド,3-8,170円
2023130,ワイド,3-10,230円
2023130,ワイド,8-10,270円
2023130,3連複,3-8-10,500円
2023130,3連単,3-8-10,"1,540円"
2023131,単勝,8,150円
2023131,複勝,8,110円
2023131,複勝,2,180円
2023131,複勝,10,140円
2023131,枠連,2-7,780円
2023131,馬連,2-8,790円
2023131,馬単,8-2,840円
2023131,ワイド,2-8,260円
2023131,ワイド,8-10,210円
2023131,ワイド,2-10,640円
2023131,3連複,2-8-10,"1,110円"
2023131,3連単,8-2-10,"3,570円"
2023132,単勝,16,450円
2023132,複勝,16,220円
2023132,複勝,2,200円
2023132,複勝,15,620円
2023132,枠連,1-8,"1,030円"
2023132,馬連,2-16,"1,720円"
2023132,馬単,16-2,"3,110円"
2023132,ワイド,2-16,660円
2023132,ワイド,15-16,"1,480円"
2023132,ワイド,2-15,"2,450円"
2023132,3連複,2-15-16,"14,400円"
2023132,3連単,16-2-15,"53,920円"
2023133,単勝,2,950円
2023133,複勝,2,310円
2023133,複勝,15,180円
2023133,複勝,16,320円
2023133,枠連,1-8,"1,510円"
2023133,馬連,2-15,"2,360円"
2023133,馬単,2-15,"5,290円"
2023133,ワイド,2-15,930円
2023133,ワイド,2-16,"1,970円"
2023133,ワイド,15-16,730円
2023133,3連複,2-15-16,"8,120円"
2023133,3連単,2-15-16,"45,900円"
2023134,単勝,10,340円
2023134,複勝,10,160円
2023134,複勝,4,180円
2023134,複勝,16,400円
2023134,枠連,2-5,580円
2023134,馬連,4-10,830円
2023134,馬単,10-4,"1,470円"
2023134,ワイド,4-10,390円
2023134,ワイド,10-16,"1,060円"
2023134,ワイド,4-16,"1,060円"
2023134,3連複,4-10-16,"4,300円"
2023134,3連単,10-4-16,"18,800円"
2023135,単勝,2,350円
2023135,複勝,2,170円
2023135,複勝,10,480円
2023135,複勝,4,250円
2023135,枠連,1-5,"3,050円"
2023135,馬連,2-10,"5,020円"
2023135,馬単,2-10,"7,390円"
2023135,ワイド,2-10,"1,510円"
2023135,ワイド,2-4,600円
