レースID,券種,組番,払戻金
2023135,ワイド,4-10,"1,250円"
2023135,3連複,2-4-10,"10,100円"
2023135,3連単,2-10-4,"49,140円"
2023136,単勝,7,590円
2023136,複勝,7,210円
2023136,複勝,11,"1,440円"
2023136,複勝,3,450円
2023136,枠連,4-6,"1,740円"
2023136,馬連,7-11,"16,490円"
2023136,馬単,7-11,"27,180円"
2023136,ワイド,7-11,"5,620円"
2023136,ワイド,3-7,"1,340円"
2023136,ワイド,3-11,"10,430円"
2023136,3連複,3-7-11,"82,020円"
2023136,3連単,7-11-3,"448,670円"
2023137,単勝,11,820円
2023137,複勝,11,200円
2023137,複勝,15,140円
2023137,複勝,13,200円
2023137,枠連,6-8,"1,040円"
2023137,馬連,11-15,"1,400円"
2023137,馬単,11-15,"3,900円"
2023137,ワイド,11-15,510円
2023137,ワイド,11-13,800円
2023137,ワイド,13-15,570円
2023137,3連複,11-13-15,"3,220円"
2023137,3連単,11-15-13,"23,230円"
2023138,単勝,6,480円
2023138,複勝,6,200円
2023138,複勝,10,260円
2023138,複勝,4,180円
2023138,枠連,3-5,"2,370円"
2023138,馬連,6-10,"3,170円"
2023138,馬単,6-10,"5,350円"
2023138,ワイド,6-10,"1,220円"
2023138,ワイド,4-6,590円
2023138,ワイド,4-10,850円
2023138,3連複,4-6-10,"5,000円"
2023138,3連単,6-10-4,"27,060円"
2023139,単勝,15,440円
2023139,複勝,15,150円
2023139,複勝,14,150円
2023139,複勝,12,150円
2023139,枠連,7-8,920円
2023139,馬連,14-15,920円
2023139,馬単,15-14,"1,880円"
2023139,ワイド,14-15,360円
2023139,ワイド,12-15,360円
2023139,ワイド,12-14,390円
2023139,3連複,12-14-15,"1,180円"
2023139,3連単,15-14-12,"6,510円"
2023140,単勝,10,120円
2023140,複勝,10,110円
2023140,複勝,13,110円
2023140,複勝,16,150円
2023140,枠連,5-7,200円
2023140,馬連,10-13,210円
2023140,馬単,10-13,270円
2023140,ワイド,10-13,130円
2023140,ワイド,10-16,190円
2023140,ワイド,13-16,290円
2023140,3連複,10-13-16,380円
2023140,3連単,10-13-16,760円
2023141,単勝,13,520円
2023141,複勝,13,210円
2023141,複勝,14,240円
2023141,複勝,3,170円
2023141,枠連,8-8,"2,330円"
2023141,馬連,13-14,"2,340円"
2023141,馬単,13-14,"4,230円"
2023141,ワイド,13-14,680円
2023141,ワイド,3-13,570円
2023141,ワイド,3-14,690円
2023141,3連複,3-13-14,"4,460円"
2023141,3連単,13-14-3,"20,760円"
2023142,単勝,11,"1,100円"
2023142,複勝,11,280円
2023142,複勝,15,220円
2023142,複勝,4,170円
2023142,枠連,6-8,"2,430円"
2023142,馬連,11-15,"3,750円"
2023142,馬単,11-15,"8,320円"
2023142,ワイド,11-15,"1,340円"
2023142,ワイド,4-11,950円
2023142,ワイド,4-15,740円
2023142,3連複,4-11-15,"6,350円"
2023142,3連単,11-15-4,"59,090円"
2023143,単勝,9,220円
2023143,複勝,9,110円
2023143,複勝,6,110円
2023143,複勝,13,210円
2023143,枠連,5-6,250円
2023143,馬連,6-9,280円
2023143,馬単,9-6,500円
2023143,ワイド,6-9,160円
2023143,ワイド,9-13,390円
2023143,ワイド,6-13,520円
2023143,3連複,6-9-13,980円
2023143,3連単,9-6-13,"2,800円"
2023144,単勝,10,"1,410円"
2023144,複勝,10,250円
2023144,複勝,7,140円
2023144,複勝,5,160円
2023144,枠連,4-6,"1,430円"
2023144,馬連,7-10,"2,110円"
2023144,馬単,10-7,"5,140円"
2023144,ワイド,7-10,720円
2023144,ワイド,5-10,"1,160円"
2023144,ワイド,5-7,310円
2023144,3連複,5-7-10,"2,830円"
2023144,3連単,10-7-5,"21,820円"
2023145,単勝,9,"1,260円"
2023145,複勝,9,310円
2023145,複勝,7,160円
2023145,複勝,3,190円
2023145,枠連,4-5,"1,100円"
2023145,馬連,7-9,"1,840円"
2023145,馬単,9-7,"4,330円"
2023145,ワイド,7-9,750円
2023145,ワイド,3-9,"1,220円"
2023145,ワイド,3-7,520円
2023145,3連複,3-7-9,"3,300円"
2023145,3連単,9-7-3,"20,710円"
2023146,単勝,2,990円
2023146,複勝,2,270円
2023146,複勝,9,150円
2023146,複勝,8,190円
2023146,枠連,1-5,"1,620円"
2023146,馬連,2-9,"2,370円"
2023146,馬単,2-9,"6,550円"
2023146,ワイド,2-9,910円
2023146,ワイド,2-8,"1,270円"
2023146,ワイド,8-9,440円
2023146,3連複,2-8-9,"4,470円"
2023146,3連単,2-9-8,"31,740円"
2023147,単勝,13,150円
2023147,複勝,13,110円
2023147,複勝,15,120円
2023147,複勝,8,130円
2023147,枠連,7-8,240円
2023147,馬連,13-15,250円
2023147,馬単,13-15,370円
2023147,ワイド,13-15,140円
2023147,ワイド,8-13,200円
2023147,ワイド,8-15,360円
2023147,3連複,8-13-15,420円
2023147,3連単,13-15-8,"1,010円"
2023148,単勝,7,"1,850円"
2023148,複勝,7,450円
2023148,複勝,10,630円
2023148,複勝,9,170円
2023148,枠連,4-5,"1,950円"
2023148,馬連,7-10,"27,300円"
2023148,馬単,7-10,"54,860円"
2023148,ワイド,7-10,"5,340円"
2023148,ワイド,7-9,"1,600円"
2023148,ワイド,9-10,"2,670円"
2023148,3連複,7-9-10,"41,630円"
2023148,3連単,7-10-9,"466,750円"
2023149,単勝,8,330円
2023149,複勝,8,160円
2023149,複勝,7,190円
2023149,複勝,10,350円
2023149,枠連,4-4,920円
2023149,馬連,7-8,930円
2023149,馬単,8-7,"1,460円"
2023149,ワイド,7-8,350円
2023149,ワイド,8-10,"1,160円"
2023149,ワイド,7-10,"1,120円"
2023149,3連複,7-8-10,"5,550円"
2023149,3連単,8-7-10,"15,600円"
2023150,単勝,6,"12,510円"
2023150,複勝,6,"1,980円"
2023150,複勝,8,200円
2023150,複勝,5,510円
2023150,枠連,4-5,"9,910円"
2023150,馬連,6-8,"22,470円"
2023150,馬単,6-8,"74,220円"
2023150,ワイド,6-8,"6,300円"
2023150,ワイド,5-6,"23,470円"
2023150,ワイド,5-8,"1,690円"
2023150,3連複,5-6-8,"140,070円"
2023150,3連単,6-8-5,"1,334,810円"
2023151,単勝,3,240円
2023151,複勝,3,120円
2023151,複勝,12,160円
2023151,複勝,16,250円
2023151,枠連,2-6,880円
2023151,馬連,3-12,790円
2023151,馬単,3-12,"1,420円"
2023151,ワイド,3-12,340円
2023151,ワイド,3-16,560円
2023151,ワイド,12-16,940円
2023151,3連複,3-12-16,"2,330円"
2023151,3連単,3-12-16,"9,300円"
2023152,単勝,9,690円
2023152,複勝,9,220円
2023152,複勝,6,180円
2023152,複勝,3,320円
2023152,枠連,6-8,400円
2023152,馬連,6-9,"1,350円"
2023152,馬単,9-6,"2,810円"
2023152,ワイド,6-9,480円
2023152,ワイド,3-9,920円
2023152,ワイド,3-6,630円
2023152,3連複,3-6-9,"3,510円"
2023152,3連単,9-6-3,"19,600円"
2023153,単勝,14,860円
2023153,複勝,14,250円
2023153,複勝,6,330円
2023153,複勝,15,140円
2023153,枠連,4-8,380円
2023153,馬連,6-14,"8,190円"
2023153,馬単,14-6,"15,180円"
2023153,ワイド,6-14,"2,580円"
2023153,ワイド,14-15,520円
2023153,ワイド,6-15,"1,010円"
2023153,3連複,6-14-15,"6,440円"
2023153,3連単,14-6-15,"65,380円"
2023154,単勝,12,140円
2023154,複勝,12,110円
2023154,複勝,8,110円
2023154,複勝,3,350円
2023154,枠連,6-8,150円
2023154,馬連,8-12,170円
2023154,馬単,12-8,240円
2023154,ワイド,8-12,130円
2023154,ワイド,3-12,640円
2023154,ワイド,3-8,850円
2023154,3連複,3-8-12,"1,180円"
2023154,3連単,12-8-3,"2,510円"
2023155,単勝,10,"3,130円"
2023155,複勝,10,890円
2023155,複勝,1,220円
2023155,複勝,9,930円
2023155,枠連,1-5,"3,230円"
2023155,馬連,1-10,"6,860円"
2023155,馬単,10-1,"18,370円"
2023155,ワイド,1-10,"2,130円"
2023155,ワイド,9-10,"14,270円"
2023155,ワイド,1-9,"2,810円"
2023155,3連複,1-9-10,"84,970円"
2023155,3連単,10-1-9,"526,580円"
2023156,単勝,5,640円
2023156,複勝,5,280円
2023156,複勝,15,"1,420円"
2023156,複勝,14,510円
2023156,枠連,3-8,"1,640円"
2023156,馬連,5-15,"21,010円"
2023156,馬単,5-15,"35,740円"
2023156,ワイド,5-15,"6,650円"
2023156,ワイド,5-14,"1,480円"
2023156,ワイド,14-15,"9,510円"
2023156,3連複,5-14-15,"99,110円"
2023156,3連単,5-15-14,"443,940円"
2023157,単勝,8,410円
2023157,複勝,8,150円
2023157,複勝,5,250円
2023157,複勝,1,130円
2023157,枠連,5-6,650円
2023157,馬連,5-8,"1,940円"
2023157,馬単,8-5,"3,610円"
2023157,ワイド,5-8,600円
2023157,ワイド,1-8,310円
2023157,ワイド,1-5,800円
2023157,3連複,1-5-8,"2,480円"
2023157,3連単,8-5-1,"13,800円"
2023158,単勝,5,"4,130円"
2023158,複勝,5,"1,030円"
2023158,複勝,9,340円
2023158,複勝,12,520円
2023158,枠連,3-5,"8,110円"
2023158,馬連,5-9,"15,610円"
2023158,馬単,5-9,"42,030円"
2023158,ワイド,5-9,"4,950円"
2023158,ワイド,5-12,"9,680円"
2023158,ワイド,9-12,"3,120円"
2023158,3連複,5-9-12,"104,020円"
2023158,3連単,5-9-12,"592,880円"
2023159,単勝,9,390円
2023159,複勝,9,150円
2023159,複勝,13,130円
2023159,複勝,16,200円
2023159,枠連,5-7,610円
2023159,馬連,9-13,780円
2023159,馬単,9-13,"1,450円"
2023159,ワイド,9-13,310円
2023159,ワイド,9-16,750円
2023159,ワイド,13-16,540円
2023159,3連複,9-13-16,"2,230円"
2023159,3連単,9-13-16,"8,960円"
2023160,単勝,16,170円
2023160,複勝,16,110円
2023160,複勝,9,210円
2023160,複勝,15,160円
2023160,枠連,5-8,690円
2023160,馬連,9-16,930円
2023160,馬単,16-9,"1,280円"
2023160,ワイド,9-16,380円
2023160,ワイド,15-16,310円
2023160,ワイド,9-15,810円
2023160,3連複,9-15-16,"1,490円"
2023160,3連単,16-9-15,"6,260円"
2023161,単勝,4,180円
2023161,複勝,4,110円
2023161,複勝,15,150円
2023161,複勝,12,170円
2023161,枠連,2-8,580円
2023161,馬連,4-15,610円
2023161,馬単,4-15,750円
2023161,ワイド,4-15,230円
2023161,ワイド,4-12,280円
2023161,ワイド,12-15,510円
2023161,3連複,4-12-15,"1,160円"
2023161,3連単,4-15-12,"3,510円"
2023162,単勝,3,"2,860円"
2023162,複勝,3,620円
2023162,複勝,5,500円
2023162,複勝,2,330円
2023162,枠連,2-3,"11,660円"
2023162,馬連,3-5,"15,030円"
2023162,馬単,3-5,"34,010円"
2023162,ワイド,3-5,"4,140円"
2023162,ワイド,2-3,"2,260円"
2023162,ワイド,2-5,"1,900円"
2023162,3連複,2-3-5,"25,460円"
2023162,3連単,3-5-2,"232,620円"
2023163,単勝,18,"1,610円"
2023163,複勝,18,360円
2023163,複勝,6,"1,050円"
2023163,複勝,4,160円
2023163,枠連,3-8,"6,200円"
2023163,馬連,6-18,"35,500円"
2023163,馬単,18-6,"86,420円"
2023163,ワイド,6-18,"7,710円"
2023163,ワイド,4-18,840円
2023163,ワイド,4-6,"2,690円"
2023163,3連複,4-6-18,"31,660円"
2023163,3連単,18-6-4,"317,350円"
2023164,単勝,7,150円
2023164,複勝,7,110円
2023164,複勝,4,170円
2023164,複勝,2,630円
2023164,枠連,2-4,340円
2023164,馬連,4-7,540円
2023164,馬単,7-4,740円
2023164,ワイド,4-7,270円
2023164,ワイド,2-7,"1,350円"
2023164,ワイド,2-4,"4,990円"
2023164,3連複,2-4-7,"9,490円"
2023164,3連単,7-4-2,"22,960円"
2023165,単勝,2,360円
2023165,複勝,2,150円
2023165,複勝,11,170円
2023165,複勝,14,330円
2023165,枠連,1-6,820円
2023165,馬連,2-11,790円
2023165,馬単,2-11,"1,510円"
2023165,ワイド,2-11,350円
2023165,ワイド,2-14,930円
2023165,ワイド,11-14,"1,180円"
2023165,3連複,2-11-14,"4,200円"
2023165,3連単,2-11-14,"16,620円"
2023166,単勝,16,"2,680円"
2023166,複勝,16,"1,100円"
2023166,複勝,11,290円
2023166,複勝,4,360円
2023166,枠連,6-8,"4,450円"
2023166,馬連,11-16,"4,700円"
2023166,馬単,16-11,"13,020円"
2023166,ワイド,11-16,"1,170円"
2023166,ワイド,4-16,"1,840円"
2023166,ワイド,4-11,460円
2023166,3連複,4-11-16,"7,780円"
2023166,3連単,16-11-4,"79,440円"
2023167,単勝,6,"2,650円"
2023167,複勝,6,510円
2023167,複勝,4,180円
2023167,複勝,7,230円
2023167,枠連,4-6,"7,390円"
2023167,馬連,4-6,"6,030円"
2023167,馬単,6-4,"16,730円"
2023167,ワイド,4-6,"1,800円"
2023167,ワイド,6-7,"3,180円"
2023167,ワイド,4-7,740円
2023167,3連複,4-6-7,"13,450円"
2023167,3連単,6-4-7,"124,580円"
2023168,単勝,1,440円
2023168,複勝,1,150円
2023168,複勝,10,320円
2023168,複勝,5,130円
2023168,枠連,1-5,"1,370円"
2023168,馬連,1-10,"3,480円"
2023168,馬単,1-10,"5,030円"
2023168,ワイド,1-10,"1,140円"
2023168,ワイド,1-5,270円
2023168,ワイド,5-10,820円
2023168,3連複,1-5-10,"2,640円"
2023168,3連単,1-10-5,"19,420円"
2023169,単勝,4,370円
2023169,複勝,4,160円
2023169,複勝,5,"1,140円"
2023169,複勝,2,150円
2023169,枠連,2-3,"4,640円"
2023169,馬連,4-5,"18,950円"
2023169,馬単,4-5,"26,040円"
2023169,ワイド,4-5,"4,700円"
2023169,ワイド,2-4,290円
2023169,ワイド,2-5,"4,390円"
2023169,3連複,2-4-5,"17,300円"
2023169,3連単,4-5-2,"121,000円"
2023170,単勝,8,580円
2023170,複勝,8,220円
2023170,複勝,6,210円
2023170,複勝,5,240円
2023170,枠連,5-6,"1,030円"
2023170,馬連,6-8,"1,910円"
2023170,馬単,8-6,"3,640円"
2023170,ワイド,6-8,760円
2023170,ワイド,5-8,"1,000円"
2023170,ワイド,5-6,"1,020円"
2023170,3連複,5-6-8,"5,440円"
2023170,3連単,8-6-5,"26,080円"
2023171,単勝,12,190円
2023171,複勝,12,120円
2023171,複勝,11,"1,050円"
2023171,複勝,3,370円
2023171,枠連,6-6,"5,490円"
2023171,馬連,11-12,"6,960円"
2023171,馬単,12-11,"8,690円"
2023171,ワイド,11-12,"2,690円"
2023171,ワイド,3-12,680円
2023171,ワイド,3-11,"6,860円"
2023171,3連複,3-11-12,"18,540円"
2023171,3連単,12-11-3,"80,650円"
2023172,単勝,8,"13,610円"
2023172,複勝,8,"1,780円"
2023172,複勝,5,150円
2023172,複勝,7,110円
2023172,枠連,3-4,400円
2023172,馬連,5-8,"59,500円"
2023172,馬単,8-5,"163,640円"
2023172,ワイド,5-8,"9,960円"
2023172,ワイド,7-8,"3,350円"
2023172,ワイド,5-7,240円
2023172,3連複,5-7-8,"19,880円"
2023172,3連単,8-5-7,"431,210円"
2023173,単勝,16,710円
2023173,複勝,16,180円
2023173,複勝,7,140円
2023173,複勝,13,110円
2023173,枠連,4-8,"1,140円"
2023173,馬連,7-16,"1,510円"
2023173,馬単,16-7,"3,130円"
2023173,ワイド,7-16,360円
2023173,ワイド,13-16,330円
2023173,ワイド,7-13,200円
2023173,3連複,7-13-16,990円
2023173,3連単,16-7-13,"7,500円"
2023174,単勝,4,"7,920円"
2023174,複勝,4,"1,190円"
2023174,複勝,3,250円
2023174,複勝,6,810円
2023174,枠連,2-2,"15,850円"
2023174,馬連,3-4,"18,240円"
2023174,馬単,4-3,"48,500円"
2023174,ワイド,3-4,"4,850円"
2023174,ワイド,4-6,"9,560円"
2023174,ワイド,3-6,"3,070円"
2023174,3連複,3-4-6,"110,380円"
2023174,3連単,4-3-6,"900,430円"
2023175,単勝,14,210円
2023175,複勝,14,110円
2023175,複勝,15,120円
2023175,複勝,2,270円
2023175,枠連,7-8,210円
2023175,馬連,14-15,220円
2023175,馬単,14-15,420円
2023175,ワイド,14-15,150円
2023175,ワイド,2-14,760円
2023175,ワイド,2-15,660円
2023175,3連複,2-14-15,"1,240円"
2023175,3連単,14-15-2,"3,380円"
2023176,単勝,4,320円
2023176,複勝,4,150円
2023176,複勝,10,160円
2023176,複勝,12,270円
2023176,枠連,4-7,550円
2023176,馬連,4-10,610円
2023176,馬単,4-10,"1,310円"
2023176,ワイド,4-10,280円
2023176,ワイド,4-12,750円
2023176,ワイド,10-12,510円
2023176,3連複,4-10-12,"1,680円"
2023176,3連単,4-10-12,"7,060円"
2023177,単勝,3,410円
2023177,複勝,3,180円
2023177,複勝,4,140円
2023177,複勝,16,"1,230円"
2023177,枠連,2-2,760円
2023177,馬連,3-4,680円
2023177,馬単,3-4,"1,480円"
2023177,ワイド,3-4,310円
2023177,ワイド,3-16,"3,840円"
2023177,ワイド,4-16,"2,510円"
2023177,3連複,3-4-16,"10,900円"
2023177,3連単,3-4-16,"53,620円"
2023178,単勝,10,"1,620円"
2023178,複勝,10,250円
2023178,複勝,2,130円
2023178,複勝,5,110円
2023178,枠連,2-8,"2,010円"
2023178,馬連,2-10,"2,070円"
2023178,馬単,10-2,"6,510円"
2023178,ワイド,2-10,610円
2023178,ワイド,5-10,500円
2023178,ワイド,2-5,190円
2023178,3連複,2-5-10,"1,460円"
2023178,3連単,10-2-5,"16,010円"
2023179,単勝,3,210円
2023179,複勝,3,120円
2023179,複勝,11,930円
2023179,複勝,12,760円
2023179,枠連,3-7,"1,980円"
2023179,馬連,3-11,"4,260円"
2023179,馬単,3-11,"5,280円"
2023179,ワイド,3-11,"1,380円"
2023179,ワイド,3-12,"1,740円"
2023179,ワイド,11-12,"8,160円"
2023179,3連複,3-11-12,"29,180円"
2023179,3連単,3-11-12,"111,400円"
2023180,単勝,10,180円
2023180,複勝,10,110円
2023180,複勝,5,460円
2023180,複勝,1,330円
2023180,枠連,4-6,850円
2023180,馬連,5-10,"2,270円"
2023180,馬単,10-5,"3,530円"
2023180,ワイド,5-10,930円
2023180,ワイド,1-10,640円
2023180,ワイド,1-5,"2,880円"
2023180,3連複,1-5-10,"7,240円"
2023180,3連単,10-5-1,"25,650円"
2023181,単勝,7,220円
2023181,複勝,7,130円
2023181,複勝,15,230円
2023181,複勝,6,260円
2023181,枠連,4-8,"1,140円"
2023181,馬連,7-15,970円
2023181,馬単,7-15,"1,420円"
2023181,ワイド,7-15,450円
2023181,ワイド,6-7,470円
2023181,ワイド,6-15,"1,180円"
2023181,3連複,6-7-15,"2,630円"
2023181,3連単,7-15-6,"7,700円"
2023182,単勝,15,330円
2023182,複勝,15,130円
2023182,複勝,13,140円
2023182,複勝,8,110円
2023182,枠連,7-8,660円
2023182,馬連,13-15,700円
2023182,馬単,15-13,"1,200円"
2023182,ワイド,13-15,240円
2023182,ワイド,8-15,200円
2023182,ワイド,8-13,270円
2023182,3連複,8-13-15,580円
2023182,3連単,15-13-8,"3,480円"
2023183,単勝,7,160円
2023183,複勝,7,110円
2023183,複勝,13,110円
2023183,複勝,1,200円
2023183,枠連,4-7,200円
2023183,馬連,7-13,220円
2023183,馬単,7-13,290円
2023183,ワイド,7-13,140円
2023183,ワイド,1-7,440円
2023183,ワイド,1-13,640円
2023183,3連複,1-7-13,"1,020円"
2023183,3連単,7-13-1,"2,050円"
2023184,単勝,6,630円
2023184,複勝,6,170円
2023184,複勝,8,140円
2023184,複勝,13,240円
2023184,枠連,3-4,530円
2023184,馬連,6-8,690円
2023184,馬単,6-8,"1,830円"
2023184,ワイド,6-8,320円
2023184,ワイド,6-13,770円
2023184,ワイド,8-13,650円
2023184,3連複,6-8-13,"2,530円"
2023184,3連単,6-8-13,"16,220円"
2023185,単勝,16,360円
2023185,複勝,16,330円
2023185,複勝,15,370円
2023185,複勝,9,"1,140円"
2023185,枠連,8-8,"1,030円"
2023185,馬連,15-16,"1,270円"
2023185,馬単,16-15,"2,110円"
2023185,ワイド,15-16,550円
2023185,ワイド,9-16,"1,640円"
2023185,ワイド,9-15,"1,770円"
2023185,3連複,9-15-16,"9,020円"
2023185,3連単,16-15-9,"27,130円"
2023186,単勝,7,"1,350円"
2023186,複勝,7,530円
2023186,複勝,1,190円
2023186,複勝,9,450円
2023186,枠連,1-4,"1,620円"
2023186,馬連,1-7,"3,940円"
2023186,馬単,7-1,"8,320円"
2023186,ワイド,1-7,"1,340円"
2023186,ワイド,7-9,"2,360円"
2023186,ワイド,1-9,870円
2023186,3連複,1-7-9,"13,990円"
2023186,3連単,7-1-9,"78,530円"
2023187,単勝,8,"2,890円"
2023187,複勝,8,840円
2023187,複勝,5,700円
2023187,複勝,1,240円
2023187,枠連,3-4,"13,900円"
2023187,馬連,5-8,"33,610円"
2023187,馬単,8-5,"65,420円"
2023187,ワイド,5-8,"8,300円"
2023187,ワイド,1-8,"2,440円"
2023187,ワイド,1-5,"1,870円"
2023187,3連複,1-5-8,"55,080円"
2023187,3連単,8-5-1,"426,480円"
2023188,単勝,17,"1,460円"
2023188,複勝,17,500円
2023188,複勝,14,380円
2023188,複勝,9,250円
2023188,枠連,7-8,"2,510円"
2023188,馬連,14-17,"13,000円"
2023188,馬単,17-14,"22,370円"
2023188,ワイド,14-17,"3,860円"
2023188,ワイド,9-17,"2,040円"
2023188,ワイド,9-14,"1,320円"
2023188,3連複,9-14-17,"28,890円"
2023188,3連単,17-14-9,"165,130円"
2023189,単勝,7,660円
2023189,複勝,7,240円
2023189,複勝,10,230円
2023189,複勝,9,"1,030円"
2023189,枠連,6-7,"1,620円"
2023189,馬連,7-10,"3,440円"
2023189,馬単,7-10,"5,690円"
2023189,ワイド,7-10,"1,090円"
2023189,ワイド,7-9,"10,570円"
2023189,ワイド,9-10,"4,860円"
2023189,3連複,7-9-10,"75,300円"
2023189,3連単,7-10-9,"342,740円"
2023190,単勝,4,370円
2023190,複勝,4,190円
2023190,複勝,10,620円
2023190,複勝,1,270円
2023190,枠連,2-5,840円
2023190,馬連,4-10,"4,830円"
2023190,馬単,4-10,"7,790円"
2023190,ワイド,4-10,"2,050円"
2023190,ワイド,1-4,910円
2023190,ワイド,1-10,"2,990円"
2023190,3連複,1-4-10,"13,560円"
2023190,3連単,4-10-1,"60,300円"
2023191,単勝,7,200円
2023191,複勝,7,110円
2023191,複勝,6,140円
2023191,複勝,5,110円
2023191,馬連,6-7,590円
2023191,馬単,7-6,890円
2023191,ワイド,6-7,220円
2023191,ワイド,5-7,150円
2023191,ワイド,5-6,280円
2023191,3連複,5-6-7,440円
2023191,3連単,7-6-5,"1,880円"
2023192,単勝,5,500円
2023192,複勝,5,180円
2023192,複勝,1,110円
2023192,複勝,8,330円
2023192,枠連,1-5,440円
2023192,馬連,1-5,440円
2023192,馬単,5-1,"1,090円"
2023192,ワイド,1-5,230円
2023192,ワイド,5-8,870円
2023192,ワイド,1-8,360円
2023192,3連複,1-5-8,"1,680円"
2023192,3連単,5-1-8,"8,110円"
2023193,単勝,4,200円
2023193,複勝,4,120円
2023193,複勝,9,440円
2023193,複勝,7,230円
2023193,枠連,2-5,"1,000円"
2023193,馬連,4-9,"2,520円"
2023193,馬単,4-9,"3,430円"
2023193,ワイド,4-9,880円
2023193,ワイド,4-7,460円
2023193,ワイド,7-9,"2,420円"
2023193,3連複,4-7-9,"6,480円"
2023193,3連単,4-9-7,"26,020円"
2023194,単勝,6,260円
2023194,複勝,6,110円
2023194,複勝,8,130円
2023194,複勝,5,120円
2023194,枠連,4-5,270円
2023194,馬連,6-8,430円
2023194,馬単,6-8,700円
2023194,ワイド,6-8,190円
2023194,ワイド,5-6,180円
2023194,ワイド,5-8,220円
2023194,3連複,5-6-8,370円
2023194,3連単,6-8-5,"1,580円"
2023195,単勝,12,260円
2023195,複勝,12,110円
2023195,複勝,5,140円
2023195,複勝,4,110円
2023195,枠連,3-6,620円
2023195,馬連,5-12,730円
2023195,馬単,12-5,"1,150円"
2023195,ワイド,5-12,280円
2023195,ワイド,4-12,170円
2023195,ワイド,4-5,310円
2023195,3連複,4-5-12,650円
2023195,3連単,12-5-4,"2,700円"
2023196,単勝,4,110円
2023196,複勝,4,100円
2023196,複勝,9,190円
2023196,複勝,11,310円
2023196,枠連,2-5,310円
2023196,馬連,4-9,550円
2023196,馬単,4-9,600円
2023196,ワイド,4-9,280円
2023196,ワイド,4-11,540円
2023196,ワイド,9-11,"2,230円"
2023196,3連複,4-9-11,"2,910円"
2023196,3連単,4-9-11,"5,750円"
2023197,単勝,15,190円
2023197,複勝,15,110円
2023197,複勝,14,120円
2023197,複勝,3,160円
2023197,枠連,7-8,290円
2023197,馬連,14-15,290円
2023197,馬単,15-14,440円
2023197,ワイド,14-15,150円
2023197,ワイド,3-15,230円
2023197,ワイド,3-14,360円
2023197,3連複,3-14-15,520円
2023197,3連単,15-14-3,"1,770円"
2023198,単勝,11,440円
2023198,複勝,11,180円
2023198,複勝,8,260円
2023198,複勝,12,540円
2023198,枠連,4-6,"1,080円"
2023198,馬連,8-11,"1,270円"
2023198,馬単,11-8,"2,390円"
2023198,ワイド,8-11,500円
2023198,ワイド,11-12,"1,170円"
2023198,ワイド,8-12,"1,950円"
2023198,3連複,8-11-12,"7,510円"
2023198,3連単,11-8-12,"28,930円"
2023199,単勝,4,"1,180円"
2023199,複勝,4,330円
2023199,複勝,2,190円
2023199,複勝,14,300円
2023199,枠連,1-2,630円
2023199,馬連,2-4,"4,310円"
2023199,馬単,4-2,"8,800円"
2023199,ワイド,2-4,"1,480円"
2023199,ワイド,4-14,"1,900円"
2023199,ワイド,2-14,"1,100円"
2023199,3連複,2-4-14,"13,410円"
2023199,3連単,4-2-14,"76,390円"
2023200,単勝,3,640円
2023200,複勝,3,180円
2023200,複勝,14,120円
2023200,複勝,9,190円
2023200,枠連,2-8,760円
2023200,馬連,3-14,890円
2023200,馬単,3-14,"2,090円"
2023200,ワイド,3-14,360円
2023200,ワイド,3-9,580円
2023200,ワイド,9-14,370円
2023200,3連複,3-9-14,"1,930円"
2023200,3連単,3-14-9,"11,550円"
